Stock,Date,Time,Open,Close,Change (%),Market Cap
RELIANCE.NS,2025-09-18,19:57:29,1420.4,1415.0,-0.38,Large Cap
TCS.NS,2025-09-18,19:57:29,3185.0,3176.7,-0.26,Large Cap
INFY.NS,2025-09-18,19:57:29,1550.0,1540.6,-0.61,Large Cap
SBIN.NS,2025-09-18,19:57:29,858.65,854.35,-0.5,Large Cap
AXISBANK.NS,2025-09-18,19:57:29,1129.0,1133.0,0.35,Large Cap
KOTAKBANK.NS,2025-09-18,19:57:29,2050.0,2054.6,0.22,Large Cap
HINDZINC.NS,2025-09-18,19:57:29,459.05,454.85,-0.91,Mid Cap
SOLARINDS.NS,2025-09-18,19:57:29,14750.0,14617.0,-0.9,Mid Cap
MAZDOCK.NS,2025-09-18,19:57:29,3008.5,2984.6,-0.79,Mid Cap
HDFCAMC.NS,2025-09-18,19:57:29,5830.0,5850.0,0.34,Mid Cap
MAXHEALTH.NS,2025-09-18,19:57:29,1145.1,1173.4,2.47,Mid Cap
CUMMINSIND.NS,2025-09-18,19:57:29,4137.0,4101.0,-0.87,Mid Cap
OSWALPUMPS.NS,2025-09-18,19:57:29,799.85,794.6,-0.66,Small Cap
SWARAJENG.NS,2025-09-18,19:57:29,4455.0,4441.2,-0.31,Small Cap
LAURUSLABS.NS,2025-09-18,19:57:29,891.0,923.25,3.62,Small Cap
KAYNES.NS,2025-09-18,19:57:29,7275.0,7227.5,-0.65,Small Cap
GCSL.NS,2025-09-18,19:57:29,290.2,274.25,-5.5,Small Cap
RELIANCE.NS,2025-09-18,20:14:18,1420.4,1415.0,-0.38,Large Cap
TCS.NS,2025-09-18,20:14:18,3185.0,3176.7,-0.26,Large Cap
INFY.NS,2025-09-18,20:14:18,1550.0,1540.6,-0.61,Large Cap
SBIN.NS,2025-09-18,20:14:18,858.65,854.35,-0.5,Large Cap
AXISBANK.NS,2025-09-18,20:14:18,1129.0,1133.0,0.35,Large Cap
KOTAKBANK.NS,2025-09-18,20:14:18,2050.0,2054.6,0.22,Large Cap
HINDZINC.NS,2025-09-18,20:14:18,459.05,454.85,-0.91,Mid Cap
SOLARINDS.NS,2025-09-18,20:14:18,14750.0,14617.0,-0.9,Mid Cap
MAZDOCK.NS,2025-09-18,20:14:18,3008.5,2984.6,-0.79,Mid Cap
HDFCAMC.NS,2025-09-18,20:14:18,5830.0,5850.0,0.34,Mid Cap
MAXHEALTH.NS,2025-09-18,20:14:18,1145.1,1173.4,2.47,Mid Cap
CUMMINSIND.NS,2025-09-18,20:14:18,4137.0,4101.0,-0.87,Mid Cap
OSWALPUMPS.NS,2025-09-18,20:14:18,799.85,794.6,-0.66,Small Cap
SWARAJENG.NS,2025-09-18,20:14:18,4455.0,4441.2,-0.31,Small Cap
LAURUSLABS.NS,2025-09-18,20:14:18,891.0,923.25,3.62,Small Cap
KAYNES.NS,2025-09-18,20:14:18,7275.0,7227.5,-0.65,Small Cap
GCSL.NS,2025-09-18,20:14:18,290.2,274.25,-5.5,Small Cap
RELIANCE.NS,2025-09-18,20:25:50,1420.4,1415.0,-0.38,Large Cap
TCS.NS,2025-09-18,20:25:50,3185.0,3176.7,-0.26,Large Cap
INFY.NS,2025-09-18,20:25:50,1550.0,1540.6,-0.61,Large Cap
SBIN.NS,2025-09-18,20:25:50,858.65,854.35,-0.5,Large Cap
AXISBANK.NS,2025-09-18,20:25:50,1129.0,1133.0,0.35,Large Cap
KOTAKBANK.NS,2025-09-18,20:25:50,2050.0,2054.6,0.22,Large Cap
HINDZINC.NS,2025-09-18,20:25:50,459.05,454.85,-0.91,Mid Cap
SOLARINDS.NS,2025-09-18,20:25:50,14750.0,14617.0,-0.9,Mid Cap
MAZDOCK.NS,2025-09-18,20:25:50,3008.5,2984.6,-0.79,Mid Cap
HDFCAMC.NS,2025-09-18,20:25:50,5830.0,5850.0,0.34,Mid Cap
MAXHEALTH.NS,2025-09-18,20:25:50,1145.1,1173.4,2.47,Mid Cap
CUMMINSIND.NS,2025-09-18,20:25:50,4137.0,4101.0,-0.87,Mid Cap
OSWALPUMPS.NS,2025-09-18,20:25:50,799.85,794.6,-0.66,Small Cap
SWARAJENG.NS,2025-09-18,20:25:50,4455.0,4441.2,-0.31,Small Cap
LAURUSLABS.NS,2025-09-18,20:25:50,891.0,923.25,3.62,Small Cap
KAYNES.NS,2025-09-18,20:25:50,7275.0,7227.5,-0.65,Small Cap
GCSL.NS,2025-09-18,20:25:50,290.2,274.25,-5.5,Small Cap
RELIANCE.NS,2025-09-19,09:20:31,1414.9,1410.1,-0.34,Large Cap
TCS.NS,2025-09-19,09:20:31,3170.0,3163.1,-0.22,Large Cap
INFY.NS,2025-09-19,09:20:31,1544.6,1541.9,-0.17,Large Cap
SBIN.NS,2025-09-19,09:20:31,852.0,852.7,0.08,Large Cap
AXISBANK.NS,2025-09-19,09:20:31,1133.0,1130.9,-0.19,Large Cap
KOTAKBANK.NS,2025-09-19,09:20:31,2054.6,2051.5,-0.15,Large Cap
HINDZINC.NS,2025-09-19,09:20:31,456.0,454.55,-0.32,Mid Cap
SOLARINDS.NS,2025-09-19,09:20:31,14612.0,14684.0,0.49,Mid Cap
MAZDOCK.NS,2025-09-19,09:20:31,2978.1,2987.4,0.31,Mid Cap
HDFCAMC.NS,2025-09-19,09:20:31,5868.0,5860.5,-0.13,Mid Cap
MAXHEALTH.NS,2025-09-19,09:20:31,1170.0,1157.9,-1.03,Mid Cap
CUMMINSIND.NS,2025-09-19,09:20:31,4105.0,4076.3,-0.7,Mid Cap
OSWALPUMPS.NS,2025-09-19,09:20:31,794.1,790.6,-0.44,Small Cap
SWARAJENG.NS,2025-09-19,09:20:31,4445.0,4410.6,-0.77,Small Cap
LAURUSLABS.NS,2025-09-19,09:20:31,926.0,917.9,-0.87,Small Cap
